2551.84	12
2517.54	12
2550.26	12
2556.05	12
2544.92	12
2550.91	12
2543.78	12
2546.08	12
2536.77	12
2560.93	12
2571.24	12
2560.11	12
2562.38	12
2565.84	12
2632.32	12
3473.27	12
2779.5	12
2578.85	12
2560.2	12
2953.96	12
2614.64	12
2556.75	12
2868.26	12
2995.63	12
2608.62	12
3261.6	12
2625.62	12
2563.9	12
3006.65	12
2899.54	12
2884.43	12
5357.71	12
3261.14	12
2903.82	12
2623.14	12
2722.25	12
2831.79	12
2879.04	12
2575.16	12
3009.57	12
3161.13	12
2596.67	12
2871.45	12
2592.76	12
2742.96	12
2989.37	12
2836.33	12
2635.47	12
3356.65	12
2607.12	12
